,Season,Team,Name,Points,Rebounds,Assists,Steals,Blocks,Record,Allstar
0,2003,DAL,Tariq Abdul-Wahad,4.1,2.9,1.5,0.4,0.2,0.732,0.0
1,2003,DAL,Raja Bell,3.1,1.9,0.8,0.7,0.1,0.732,0.0
2,2003,DAL,Shawn Bradley,6.7,5.9,0.7,0.8,2.1,0.732,0.0
3,2003,DAL,Evan Eschmeyer,1.0,1.7,0.4,0.6,0.4,0.732,0.0
4,2003,DAL,Michael Finley,19.3,5.8,3.0,1.1,0.3,0.732,0.0
5,2003,DAL,Adrian Griffin,4.4,3.6,1.4,1.0,0.1,0.732,0.0
6,2003,DAL,Avery Johnson,3.3,0.6,1.3,0.3,0.0,0.732,0.0
7,2003,DAL,Popeye Jones,2.0,2.3,0.3,0.2,0.0,0.732,0.0
8,2003,DAL,Raef LaFrentz,9.3,4.8,0.8,0.5,1.3,0.732,0.0
9,2003,DAL,Eduardo Najera,6.7,4.6,1.0,0.8,0.5,0.732,0.0
10,2003,DAL,Steve Nash,17.7,2.9,7.3,1.0,0.1,0.732,1.0
11,2003,DAL,Dirk Nowitzki,25.1,9.9,3.0,1.4,1.0,0.732,1.0
12,2003,DAL,Antoine Rigaudeau,1.5,0.7,0.5,0.3,0.0,0.732,0.0
13,2003,DAL,Mark Strickland,1.0,1.8,0.0,0.0,0.0,0.732,0.0
14,2003,DAL,Nick Van Exel,12.5,2.8,4.3,0.6,0.1,0.732,0.0
15,2003,DAL,Walt Williams,5.5,3.1,0.9,0.6,0.4,0.732,0.0
16,2003,ATL,Shareef Abdur-Rahim,19.9,8.4,3.0,1.1,0.5,0.427,0.0
17,2003,ATL,Corey Benjamin,4.4,3.4,1.1,0.1,0.2,0.427,0.0
18,2003,ATL,Chris Crawford,4.8,1.4,0.2,0.4,0.6,0.427,0.0
19,2003,ATL,Emanual Davis,3.7,1.8,1.5,0.5,0.1,0.427,0.0
20,2003,ATL,Dan Dickau,3.7,0.9,1.7,0.3,0.0,0.427,0.0
21,2003,ATL,Dion Glover,9.7,3.7,1.9,0.9,0.2,0.427,0.0
22,2003,ATL,Darvin Ham,2.4,2.0,0.5,0.2,0.3,0.427,0.0
23,2003,ATL,Antonio Harvey,1.0,1.5,0.0,0.3,1.0,0.427,0.0
24,2003,ATL,Alan Henderson,4.8,4.9,0.5,0.4,0.4,0.427,0.0
25,2003,ATL,Matt Maloney,1.7,0.5,1.2,0.3,0.0,0.427,0.0
26,2003,ATL,Amal McCaskill,1.0,2.0,0.5,0.3,0.1,0.427,0.0
